Age,Male,Female,Total
0-4,5346943,5181379,10528322
5-9,5604175,5443362,11047537
10-14,5547613,5392324,10939937
15-19,5520121,5505991,11026112
20-24,4831204,5079067,9910271
25-29,4205975,4582202,8788177
30-34,4026031,4444767,8470798
35-39,3964738,4328249,8292987
40-44,3350322,3658904,7009226
45-49,2824364,3104366,5928730
50-54,2402451,2661840,5064291
55-59,1869537,2025828,3895365
60-64,1476667,1639799,3116466
65-69,1095273,1221992,2317265
70-74,873893,1000041,1873934
75-79,579689,665794,1245483
80-84,355277,443659,798936
85-89,197461,256703,454164
90-94,68130,96794,164924
95-99,25920,39812,65732
100+,7228,11247,18475
unknown,700219,697187,1397406
