"Date","AGUASCALIENTES","CIUDAD DE MÉXICO","COLIMA","GUANAJUATO","GUERRERO","HIDALGO","JALISCO","MÉXICO","MICHOACÁN DE OCAMPO","MORELOS","NAYARIT","NUEVO LEÓN","PUEBLA","QUERÉTARO","SAN LUIS POTOSÍ","TAMAULIPAS","TLAXCALA","ZACATECAS","dTotal","aTotal","lag_1_Confirmed","lag_2_Confirmed","lag_3_Confirmed"
2020-03-08,0,7,0,0,1,1,3,1,0,0,0,0,2,1,0,0,0,0,13,83,0,0,0
2020-03-09,0,22,0,0,2,0,3,8,1,0,0,9,4,1,1,0,0,1,38,121,13,0,0
2020-03-10,1,26,0,1,0,0,4,2,0,0,1,2,3,4,0,0,0,0,35,156,38,13,0
2020-03-11,0,23,0,0,1,0,5,2,0,0,0,5,2,1,1,0,0,0,34,190,35,38,13
2020-03-12,2,21,1,2,1,1,8,3,0,0,0,2,1,0,1,0,0,1,43,233,34,35,38
2020-03-13,0,36,0,0,1,2,7,9,0,0,0,6,4,1,0,1,0,0,64,297,43,34,35
2020-03-14,1,38,0,3,0,1,8,5,0,1,0,8,4,1,1,2,0,0,61,358,64,43,34
2020-03-15,1,38,1,3,3,0,3,11,8,0,0,7,3,1,4,0,0,0,73,431,61,64,43
2020-03-16,2,44,0,10,1,1,6,15,1,1,0,3,11,4,2,3,1,1,92,523,73,61,64
2020-03-17,2,31,0,3,2,0,12,6,2,1,1,8,5,3,1,0,1,1,70,593,92,73,61
2020-03-18,4,30,0,2,2,2,6,10,4,0,0,6,6,2,4,0,0,1,81,674,70,92,73
2020-03-19,2,36,0,1,2,1,0,9,0,1,1,5,2,0,2,0,0,3,67,741,81,70,92
2020-03-20,2,56,0,7,3,3,8,17,1,1,0,5,10,3,1,3,0,0,126,867,67,81,70
2020-03-21,0,28,0,4,3,1,10,13,0,2,1,3,8,2,2,1,0,2,82,949,126,67,81
2020-03-22,5,32,0,5,1,0,6,19,4,2,0,4,9,3,3,2,1,1,92,1041,82,126,67
2020-03-23,9,56,0,1,3,6,6,23,4,3,0,2,14,4,0,1,1,0,151,1192,92,82,126
2020-03-24,5,48,1,3,1,3,4,27,2,1,2,1,7,0,5,1,2,0,132,1324,151,92,82
2020-03-25,5,59,1,3,1,3,4,25,4,0,0,3,4,4,3,6,2,0,147,1471,132,151,92
2020-03-26,4,91,0,5,3,2,1,32,2,2,0,3,6,4,1,4,0,0,193,1664,147,132,151
2020-03-27,6,74,0,5,1,4,8,37,3,1,2,2,14,3,3,3,1,0,203,1867,193,147,132
2020-03-28,2,69,2,1,1,1,2,23,1,2,1,1,26,0,2,2,9,0,170,2037,203,193,147
2020-03-29,3,65,1,0,1,4,4,25,1,1,0,2,25,1,2,1,2,0,169,2206,170,203,193
2020-03-30,3,118,0,1,4,6,8,49,3,4,0,5,19,1,1,11,4,0,279,2485,169,170,203
2020-03-31,1,89,0,1,5,4,5,35,1,2,3,6,9,2,4,6,3,2,217,2702,279,169,170
2020-04-01,1,150,0,7,4,1,3,52,10,8,2,6,17,4,4,10,5,0,337,3039,217,279,169
2020-04-02,2,135,0,7,5,0,9,34,3,4,3,11,23,2,4,5,4,2,310,3349,337,217,279
2020-04-03,1,127,0,6,8,4,8,44,2,4,2,8,15,4,4,4,5,2,312,3661,310,337,217
2020-04-04,0,140,0,3,10,1,5,53,3,5,2,2,13,3,3,8,8,0,329,3990,312,310,337
2020-04-05,2,150,0,5,6,4,3,40,6,7,4,8,11,2,0,6,2,0,310,4300,329,312,310
2020-04-06,4,184,1,2,8,6,6,80,5,2,1,9,18,4,1,4,4,0,398,4698,310,329,312
2020-04-07,3,171,0,1,4,2,10,53,14,1,1,13,5,3,0,10,6,1,356,5054,398,310,329
2020-04-08,2,190,0,4,12,4,9,78,8,7,2,12,7,3,2,7,10,6,441,5495,356,398,310
2020-04-09,3,213,0,4,6,3,7,69,7,2,1,14,14,4,2,8,2,1,431,5926,441,356,398
2020-04-10,4,356,0,6,11,6,8,108,15,15,3,25,20,5,2,12,12,4,698,6624,431,441,356
